Timestamp,Time,CashVariance,CardVariance,total,CashPercentage,CardPercentage
2/03/16,18:17:42,-39.21,52,12.79,-3.067202406,4.067202406
3/03/16,15:12:00,61.55,72,133.55,0.460875754,0.539124247
4/03/16,16:13:42,84.58,53,137.58,0.614766532,0.385233468
5/03/16,14:22:12,39.28,3.5,42.78,0.918179497,0.081820503
7/03/16,15:09:13,50.52,62,112.52,0.448987111,0.551012889
8/03/16,15:58:15,21.02,48,69.02,0.304564152,0.695435848
9/03/16,15:45:58,-2.66,77,74.34,-0.035765221,1.035765221
10/03/16,15:12:57,12.96,73,85.96,0.150787063,0.849212937
11/03/16,16:10:40,56.99,73.5,130.49,0.436743751,0.563256249
12/03/16,13:10:40,118.26,32.5,150.76,0.7844318,0.2155682
14/03/16,15:10:40,73.88,63.5,137.38,0.537765237,0.462234763
15/03/16,15:22:03,54.25,41.5,95.75,0.56659911,0.43340089
16/03/16,16:09:10,55.76,114,169.76,0.328480772,0.671519228
17/03/16,15:10:43,98.93,79.5,178.43,0.554440327,0.445559673
18/03/16,15:53:49,46.75,45,91.75,0.509552296,0.490447704
19/03/16,13:38:54,74.29,23,97.29,0.763593353,0.236406647
21/03/16,15:09:59,57.49,8.5,65.99,0.871195486,0.128804514
22/03/16,15:08:27,46.41,72.5,118.91,0.390310739,0.609689261
23/03/16,15:32:24,-27.66,104,76.34,-0.362413561,1.362413561
24/03/16,15:10:53,132.94,-57.5,75.44,1.762179291,-0.762179291
29/03/16,15:18:19,-3.07,40,36.93,-0.083180462,1.083180462
30/03/16,15:15:22,47.22,52.5,99.72,0.473545858,0.526454142
31/03/16,15:09:39,121.12,43.5,164.62,0.735751492,0.264248508
1/04/16,15:08:32,85.16,40,125.16,0.680397148,0.319602852
2/04/16,13:30:40,85.31,19,104.31,0.817853729,0.182146271
4/04/16,15:08:24,77.82,19.5,97.32,0.799639906,0.200360095
5/04/16,16:23:32,75.84,24.5,100.34,0.755834603,0.244165398
6/04/16,16:32:15,115.06,43,158.06,0.727951971,0.272048029
7/04/16,16:00:46,95.49,54.5,149.99,0.636637473,0.363362527
8/04/16,15:34:57,140.28,38.5,178.78,0.784655228,0.215344772
9/04/16,13:45:02,66.73,35.5,102.23,0.652745745,0.347254255
11/04/16,16:00:38,38.03,36.5,74.53,0.510283919,0.489716081
12/04/16,16:03:58,-23.71,77.5,53.79,-0.440771345,1.440771345
13/04/16,16:04:37,6.22,60,66.22,0.093874924,0.906125076
14/04/16,15:08:14,-10.53,177,166.47,-0.063258929,1.063258929
15/04/16,15:10:44,114.54,46,160.54,0.713468566,0.286531434
16/04/16,14:23:05,113.79,42,155.79,0.730399632,0.269600368
18/04/16,15:08:32,110.48,11,121.48,0.909451241,0.090548759
19/04/16,15:53:24,53.2,58,111.2,0.47842059,0.52157941
20/04/16,16:06:03,44.51,46,90.51,0.491783105,0.508216895
21/04/16,15:30:31,78.24,26,104.24,0.750575331,0.249424669
22/04/16,15:03:13,58.13,46,104.13,0.55825066,0.44174934
26/04/16,15:22:17,-59.67,72,12.33,-4.83887942,5.83887942
27/04/16,15:06:46,47.18,86.5,133.68,0.352940228,0.647059773
